,date,price_(close),price_(high),price_(low),price_(open),circulating_marketcap,circulating_supply,supply_pct
1790,2016-10-23,649.7045840898278,664.7302433635451,647.0798567807791,659.0393188275465,10516340958.065216,15948332.51195029,0.00011297949108257654
1789,2016-10-24,651.34672055285,659.4901507219429,644.6113745723791,651.05,10384486212.382874,15950121.66679396,0.00011218444576122089
1788,2016-10-25,654.6942105512838,663.6365657835142,647.8504738634185,650.7119348762315,10391627233.775772,15951861.6707965,0.00010909032789152562
1787,2016-10-26,676.1563327369272,680.8508302882167,650.03,655.7435275303977,10478271269.76829,15953590.71205208,0.000108391189145296
1786,2016-10-27,689.4750140469116,689.8800021806771,672.3801004732377,675.7134385367829,10804114125.059696,15955618.43328458,0.00012710124442194548
1785,2016-10-28,689.1139355757889,693.4007610326995,681.0637900914121,687.956342959722,10975357909.368856,15957520.28582868,0.00011919641673885373
1784,2016-10-29,711.9378328106995,728.2965359039207,684.974829079353,689.0658352000494,11017906104.799273,15959384.45496779,0.00011682072814056532
1783,2016-10-30,699.9673559559126,717.3026170290336,693.496220450046,710.9390984402323,11362203337.12045,15961486.21581756,0.00013169435548721076
1782,2016-10-31,700.0481802751267,709.2059985448998,685.1295989996333,700.7037300750582,11195630560.484688,15963324.91672587,0.00011519609661969632
1781,2016-11-01,735.2000674348943,741.3162036887618,696.7569566677724,699.4035812062882,11167059094.80306,15965126.02293591,0.00011282776109844406
1780,2016-11-02,745.2047850319601,747.296041990527,721.2652244559993,732.0670643797891,11694144946.84294,15966790.20868862,0.00010423881091314868
1779,2016-11-03,689.6690895529119,750.6959340962803,674.1155704937718,744.608564650419,11898144205.362068,15968729.49839442,0.00012145770567872916
1778,2016-11-04,704.0625638575927,709.1265798056531,683.6078471573505,689.5094913671562,11017366735.689674,15970181.49723775,9.09276372598189e-05
1777,2016-11-05,705.3178491521408,711.9707138707931,688.4190831699758,706.5257473667639,11272386090.453447,15972020.7567371,0.00011516835295011241
1776,2016-11-06,714.0885707799728,727.6490775867793,698.6963892767039,705.2186027604173,11251440554.129225,15973935.09462363,0.00011985570991224215
1775,2016-11-07,700.0643065147369,717.9238564937833,692.2944785460941,714.3047524761892,11388266328.518538,15975762.16706506,0.0001143783564041545
1774,2016-11-08,712.5474049261196,715.9100955387867,694.8529022630703,704.8575146431454,11327237580.136255,15977876.65097101,0.00013235574514935955
1773,2016-11-09,724.7135544961972,742.7329801705644,707.4343704284577,711.0365972427733,11412584777.49562,15979716.43508715,0.00011514572031878778
1772,2016-11-10,713.6595310011375,724.9295023609861,706.109161872273,723.4592580428414,11567548394.847227,15981818.38533346,0.00013153864493453682
1771,2016-11-11,716.9936379888635,721.8179675747604,709.7138134507289,711.415125985551,11446591164.14694,15983857.75186228,0.00012760541257872404
1770,2016-11-12,702.870105069507,721.5473980046393,700.5470533442309,716.0296559414908,11484958568.989054,15985959.39500301,0.0001314853506177993
1769,2016-11-13,704.0926823289249,710.8181595881586,683.8473119828953,702.9694410818165,11227481856.536917,15987736.08088876,0.00011114039776094486
