"Date","Price (Close)","Price (High)","Price (Open)","Price (Low)","Circulating Marketcap","Circulating Supply"
"2017-08-03","0.17413725672391284","0.17679712038640297","0.1711563154471614","0.16821266935405088","2784776216.519329","16291494786.668488"
"2017-08-02","0.1715789613329588","0.18048909504890567","0.1782043441748184","0.1679637089955679","2904050301.9525075","16291194462.315971"
"2017-08-01","0.17764263111469972","0.18624100173904617","0.16477648311866494","0.15566161081758362","2676281640.6957726","16290894136.963455"
"2017-07-31","0.1648792321037033","0.1694937084018452","0.16172110394986097","0.15832264096900014","2638843332.4705997","16290593811.610939"
"2017-07-30","0.16299549714047118","0.17100423361852862","0.16929117360195117","0.16013954595674515","2757438440.977505","16290286557.168423"
"2017-07-29","0.16929297666556142","0.17033521626588422","0.1625225476517742","0.15376703637552463","2652083992.8207827","16289986231.815907"
"2017-07-28","0.1619786272820703","0.17415275233162533","0.17272282402413577","0.156134123589327","2814533794.449462","16289748442.552507"
"2017-07-27","0.1723873332009302","0.17622322208882096","0.17302054858156313","0.1690706381102021","2819230620.0060587","16289339534.66911"
"2017-07-26","0.17278200221277706","0.17862223608104943","0.1743612458405847","0.1644766411347094","2840175821.7135553","16288514178.02571"
"2017-07-25","0.1742912644431167","0.19277335113630012","0.19161123358593501","0.16670939921731054","3118517841.3750105","16288276388.762312"
"2017-07-24","0.19181457966492682","0.19914094372696295","0.1958981175926396","0.18955244437446944","3186878903.958967","16288038599.498913"
"2017-07-23","0.19792501448579108","0.20578308382392688","0.19697494925132525","0.1867318389649793","3216966579.6610994","16277800810.235514"
"2017-07-22","0.19725683636649483","0.20127096995592675","0.18297633308768307","0.18142626446673016","2977427482.875817","16267563020.972115"
"2017-07-21","0.18326834810937828","0.1935298133730749","0.18970878576925498","0.1807973637472294","3085561949.0629277","16267434313.662674"
"2017-07-20","0.19148119035364852","0.20009902029601806","0.16210566532200446","0.16210566532200446","2634753244.834505","16266705606.353233"
"2017-07-19","0.16248630814200782","0.18456861567224794","0.17789419781862215","0.15805880300697778","2897862080.9682336","16266576899.043795"
"2017-07-18","0.1778321898681265","0.18802218371078228","0.17227704612413836","0.16056852349490375","2811209984.895275","16266448285.187975"
