"Date","Price (Close)","Price (High)","Price (Low)","Price (Open)","Circulating Marketcap","Circulating Supply"
"2018-11-22","4284.483603562276","4631.493306723365","4252.48546700965","4561.628990727753","79364516868.73625","17394686.48696288"
"2018-11-21","4559.19369958147","4685.020987947359","4276.133417391308","4409.027822535572","76766295209.28616","17393161.05042624"
"2018-11-20","4401.214430145316","4948.237190454292","4111.402438590334","4805.771896077133","84396826694.25975","17391847.75974903"
"2018-11-19","4766.071950669885","5601.343268707268","4713.76313932119","5593.0237332295965","97057202646.34482","17390196.83125796"
"2018-11-18","5581.050892648267","5658.429171381256","5506.492727596184","5521.335065477702","96059079010.31207","17388621.30638569"
"2018-11-17","5523.9924121130425","5582.53185621979","5458.640960179275","5572.078229991464","96686033634.80154","17387083.50960014"
"2018-11-16","5532.327281386473","5654.681400348976","5431.195497019379","5604.708033726576","97318543354.23636","17385270.7193676"
"2018-11-15","5607.475567058754","5767.4812052709085","5258.532870555756","5671.2898738614385","98512649876.01949","17383695.30294064"
"2018-11-14","5673.100794120969","6404.814927335633","5378.799970393446","6288.599795312361","109338276367.63815","17382107.20612976"
"2018-11-13","6285.518333279399","6398.753773339244","6266.523281657705","6372.385827542609","110729587919.08171","17380419.21802923"
"2018-11-12","6337.56339235909","6431.260817277821","6305.634351378529","6376.498050907706","110881655646.74751","17378918.9253251"
"2018-11-11","6373.956918846336","6420.408034333767","6292.105792482027","6381.093787016077","110550766213.65875","17377168.52173457"
"2018-11-10","6356.436950132784","6416.6611231787465","6330.100269028953","6344.144453091774","110165598958.69324","17375343.20824944"
"2018-11-09","6343.6024530445775","6456.681851468592","6316.895221721607","6419.878928552941","111624520222.52673","17373705.43893672"
"2018-11-08","6417.8855558149435","6543.350425472142","6406.039769091849","6525.008100590462","113655895903.13512","17372117.60591215"
"2018-11-07","6523.381514581164","6562.510011084654","6448.969967244018","6468.813349349955","112292510910.17752","17370604.72860206"
"2018-11-06","6464.376981914805","6473.605208005493","6379.849015501776","6421.364673916905","111687980764.15019","17368979.2585052"
"2018-11-05","6413.792339278265","6458.598497459736","6373.613037266361","6443.050035508075","111794658881.02515","17367378.70064965"
"2018-11-04","6434.994780879082","6482.031017751563","6313.905046149414","6349.0776747851205","110151789993.28345","17365578.32825865"
"2018-11-03","6349.707139996626","6398.91724715381","6309.066675066228","6365.624849997757","110675303927.45335","17364040.61325015"
"2018-11-02","6364.743180175194","6416.442441543694","6342.209036676575","6352.903927341296","110391855190.04512","17362027.91700898"
"2018-11-01","6357.066733288193","6388.628838498005","6299.176437800113","6320.2851192948165","109775204672.95288","17360240.00831743"
"2018-10-31","6324.472545948528","6389.322270599881","6212.475808944479","6307.045807964011","109541522618.72836","17358314.71823239"
"2018-10-30","6292.742904020852","6344.395875062629","6232.292311666642","6302.2581821635","109106649442.42554","17356276.92378212"
"2018-10-29","6277.342398329296","6478.092068976154","6224.12481023707","6410.864814521463","111729064483.33572","17354351.5112273"
"2018-10-28","6412.58917946526","6483.627728176322","6348.032001497307","6444.522905482851","111703997768.55133","17352526.1757431"
"2018-10-27","6444.171017057663","6503.271327224894","6395.837103144259","6450.632433689079","112111646084.47816","17350775.91945884"
"2018-10-26","6418.952689595676","6509.208132450519","6376.73076013479","6403.836185200908","111886032087.7673","17349075.67040023"
"2018-10-25","6403.689831120153","6519.0153489553","6368.356258318213","6433.752176126425","112331944799.6144","17347287.90845897"
"2018-10-24","6431.908139279283","6533.929503423793","6387.678767642066","6457.401282208036","112254567153.79321","17345575.10210125"
"2018-10-23","6413.141318312036","6505.552020513087","6371.96441305989","6420.206089031173","112283753853.05698","17344162.29746426"
"2018-10-22","6419.70724376592","6531.6612854672085","6380.473535518244","6478.654157920519","112634506470.11278","17342237.03404611"
"2018-10-21","6436.547632602747","6568.7915807021","6407.290987945778","6423.7831849070735","112242499841.83969","17340299.28111402"
"2018-10-20","6419.621113554599","6522.070284994234","6338.783954619808","6451.102858207261","111904639983.69376","17338574.04880994"
"2018-10-19","6362.6003267463075","6543.452685586385","6334.737289809555","6472.546336836445","112478046640.24583","17336786.28724524"
"2018-10-18","6419.5136947389565","6646.447370736833","6336.140694651267","6547.942631532049","113765314549.95134","17335011.04362763"
"2018-10-17","6470.866289289917","6621.865268297792","6382.506648184159","6498.399667380849","113914958819.78673","17333285.70114262"
"2018-10-16","6475.66427425284","6721.150802454426","6439.916571424942","6497.849911622932","114498514675.6611","17331560.40410756"
"2018-10-15","6516.59477994691","7246.226313488761","6163.363597116","6214.079640623093","108565234737.6766","17329872.57349625"
"2018-10-14","6201.462410195103","6343.371408407505","6151.352117780625","6214.990830417315","108386046635.40639","17327846.95879531"
"2018-10-13","6216.820622415106","6278.559765939755","6175.38541014138","6185.805322895767","107960763590.8252","17326421.73973074"
"2018-10-12","6195.501245321042","6281.24615527137","6103.239420319051","6164.6002965264415","107436551099.87512","17324659.03404393"
"2018-10-11","6164.660037184301","6575.412866736561","6125.897099661326","6568.534151182174","113829329373.46272","17323008.70744209"
"2018-10-10","6540.508683550137","6617.239425658989","6461.308310377868","6592.856662147965","114638108611.5231","17321020.79969561"
"2018-10-09","6593.119267034447","6653.134112869282","6544.051882923744","6612.9934294963605","114955321120.60715","17319220.41235543"
"2018-10-08","6616.650965217402","6687.543773802681","6531.534203950085","6578.784025055293","114101383613.62558","17317594.96307752"
"2018-10-07","6575.319196765809","6662.228834530818","6447.43333808282","6556.072141577138","113808067842.5004","17315907.12207708"
"2018-10-06","6556.555257936585","6613.7598089088315","6525.324436346899","6594.68878232303","114448457041.51721","17314131.33923583"
"2018-10-05","6591.715203550102","6654.104880398271","6515.563302980176","6554.04542816769","113713279544.41104","17312568.44277113"
"2018-10-04","6553.613895806791","6608.524428286427","6450.224207437925","6476.9846139766505","112152556753.93619","17310943.02335967"
"2018-10-03","6467.791420604328","6525.869049852634","6396.934457215898","6511.697754236828","112714759064.0381","17309067.22946796"
"2018-10-02","6485.402828140558","6614.6028018008","6383.976924933788","6575.882070578333","113975856236.4006","17307253.64070511"
"2018-10-01","6578.080415897625","6645.460566695079","6486.75085654286","6612.414437876395","114435547119.84206","17305540.79374515"
"2018-09-30","6604.396344159466","6647.566234581664","6509.680795207337","6581.7163206603645","114027007198.27925","17303565.48651998"
"2018-09-29","6579.440544083353","6628.671212318713","6454.570419724649","6627.828819542733","114657640209.12778","17301527.75725789"
"2018-09-28","6627.605807763299","6800.488964127125","6533.286543766037","6689.277417938529","115674787400.74911","17299627.27132889"
"2018-09-27","6677.144531728074","6731.504010163729","6418.15341877893","6450.073134306538","111719805350.05783","17297702.01495481"
"2018-09-26","6451.981168740605","6548.621608688775","6373.98402512268","6433.141107138993","111334743863.32442","17295914.28245219"
"2018-09-25","6436.002933859306","6579.144090721986","6321.920050152937","6577.943388340599","113832778499.0712","17294176.59791985"
"2018-09-24","6577.5492041877515","6723.181444144634","6547.223275657157","6703.0315435661005","115932268755.7804","17292063.90242525"
"2018-09-23","6696.302525025036","6778.038221556973","6659.255845067272","6715.672677499126","116109614844.04257","17290213.69325846"
"2018-09-22","6713.333210089373","6825.545971462771","6624.693010647152","6754.090079796459","116812248207.23798","17288338.50440106"
"2018-09-21","6754.21104390706","6776.628512265659","6479.675996108976","6489.614259076123","112226220951.81297","17286400.77204317"
"2018-09-20","6488.12037836681","6535.060386507091","6327.196489356803","6387.748442739581","110448501043.28445","17284600.39066533"
"2018-09-19","6387.992885308682","6518.14113520558","6107.264569906303","6331.49032294321","109465129998.28802","17282675.16126114"
"2018-09-18","6315.903480824292","6374.073822037144","6203.054166102861","6246.439445959073","108028992100.89317","17280724.93048922"
"2018-09-17","6245.89784317336","6532.221306916046","6188.241990603462","6497.215070288827","112292726821.88716","17278949.62449346"
"2018-09-16","6493.548776323665","6521.977659059217","6356.140328947624","6520.2345729014305","112564858140.81087","17277261.86302062"
"2018-09-15","6512.871574494258","6566.043561552287","6455.281098733353","6479.180271920045","111932306385.80399","17275524.15947396"
"2018-09-14","6473.721244444222","6579.190875251326","6378.931196120885","6477.504575725169","112055969597.52885","17273773.9607791"
"2018-09-13","6479.6086005133","6530.267649784898","6317.16020006898","6327.148693947536","109342294701.40007","17272123.69822046"
"2018-09-12","6330.321373937202","6350.566368344943","6189.744073590491","6276.990551835797","108527738523.26076","17270273.49017316"
"2018-09-11","6279.717624953441","6394.880192445851","6155.894829465419","6302.874621931183","108935568576.50446","17268173.23208814"
"2018-09-10","6299.414516749377","6369.004239827604","6201.622401108288","6239.1513100952","107724510495.46034","17266410.42743899"
"2018-09-09","6252.613742746133","6459.647369237117","6140.30356928358","6172.891482277","106783492398.99635","17264722.70465752"
"2018-09-08","6174.030057682907","6468.459782005957","6106.762449048934","6396.073690844286","110440831137.44316","17262685.02808256"
"2018-09-07","6385.32267552259","6534.64499516783","6313.155985276253","6504.011841477457","112279662124.13773","17260809.85705793"
"2018-09-06","6504.809390441691","6712.734486402588","6281.564066372423","6695.036480729426","115526791844.65822","17258909.60619274"
"2018-09-05","6685.504974891883","7387.958765305761","6671.366159066376","7344.844432636608","126974771921.62726","17257034.24857305"
"2018-09-04","7346.791611955217","7406.0821766947665","7219.8250580865615","7256.30717585286","125332569586.29279","17255383.92674726"
"2018-09-03","7255.975840516008","7335.053275438193","7164.309275075221","7292.102387669425","125920401213.14711","17253808.57063574"
"2018-09-02","7294.621059343185","7388.572485018125","7096.835393891097","7193.609645434573","124123052668.75232","17252008.31082313"
"2018-09-01","7194.35814221216","7272.128768003383","7009.7449559433135","7013.055402731907","120984482506.85663","17250208.07893095"
"2018-08-31","7011.827383536303","7087.706403809715","6878.792569286403","6973.450258476368","120474548900.51782","17248319.91243881"
"2018-08-30","6972.53125587433","7055.878113385988","6784.297922598124","7030.8429540744255","121328603875.4974","17246382.04878461"
"2018-08-29","7026.761509046086","7127.669160323372","6905.819610780476","7073.8788837038355","122038386675.0255","17244456.80315406"
"2018-08-28","7073.315867932377","7119.011830164569","6859.014421700763","6900.750525429843","119136409687.30783","17242718.95122677"
"2018-08-27","6903.876570762448","6943.127254881784","6626.196619645689","6707.340935645675","115631960990.48534","17240806.16535483"
"2018-08-26","6687.887218827549","6775.827628437026","6560.726628353612","6732.785844159263","116070727563.10487","17238493.26559724"
"2018-08-25","6731.014062241523","6781.357902173972","6659.407704194544","6693.192440242987","115357195728.56952","17236330.60775892"
"2018-08-24","6673.607991823546","6725.708913580065","6447.320984552252","6526.649196440439","112484256828.04852","17234642.60891872"
"2018-08-23","6520.5695092727365","6567.10421403887","6341.348972976635","6350.682809825137","109621334512.3451","17232817.47249567"
"2018-08-22","6356.013614505356","6889.583123921015","6245.493184738285","6476.108512512916","111643301416.86023","17230954.80275176"
